symbol,profile,lat_ms,signal_ts,fill_ts,close_ts,side,entry,signal_spread_bp,qsec_buy,qsec_sell,flow5s,markout1_bp,markout5_bp,gross_bp,fees_bp,net_bp,exit_mode
GALAUSDT,balanced,10,1787022782750,1787022782924,1787022783709,buy,0.001469,6.8050357264369925,0.10212945952579126,0.18291863726413105,-0.3269661597356716,-10.211027910142832,-10.211027910142832,-13.614703880190937,7.0,-20.614703880190937,MT
GALAUSDT,strict,10,1787022609500,1787022610054,1787022610381,buy,0.001455,6.870491240124581,0.2997116689597494,0.3202058767067139,0.615283942946804,17.18213058419323,10.309278350515342,6.872852233677889,4.0,2.8728522336778886,MM
GALAUSDT,strict,10,1787022612250,1787022615143,1787022617094,buy,0.001456,6.865774116031005,0.2724899280088885,0.13223574483480668,0.30542643403162606,-3.4340659340663895,-10.30219780219768,0.0,4.0,-4.0,MM
GALAUSDT,strict,10,1787022617250,1787022618888,1787022638898,buy,0.001456,6.865774116031005,1.2068348664098436,3.4844952574315613,0.16947206218219352,-10.30219780219768,-17.17032967033046,-61.81318681318756,7.0,-68.81318681318757,MT
GALAUSDT,strict,10,1787022640500,1787022641345,1787022661355,buy,0.001451,6.889424733034212,1.85949803875306,0.5268584790638684,0.6985763914289488,-3.4458993797385693,-31.013094417644133,-13.78359751895278,7.0,-20.78359751895278,MT
GALAUSDT,strict,10,1787022663250,1787022665231,1787022668951,buy,0.001451,6.889424733034212,1.4248730021815683,0.09520720532167438,0.5426372853918318,3.4458993797385693,17.229496898689856,6.891798759475643,4.0,2.891798759475643,MM
GALAUSDT,strict,10,1787022669250,1787022671729,1787022691739,sell,0.001454,6.8799449604397385,1.4460606348482399,0.28502212197569615,-0.09098874263374014,-10.316368638239217,-17.193947730398197,-48.14305364511735,7.0,-55.14305364511735,MT
GALAUSDT,strict,10,1787022696750,1787022701663,1787022704100,buy,0.001463,6.832934745472606,1.2731308215154822,1.9500955912443136,0.8063174572128685,3.417634996581336,3.417634996581336,6.835269993164155,4.0,2.8352699931641547,MM
GALAUSDT,strict,10,1787022705500,1787022706002,1787022726012,sell,0.001463,6.837606837607745,96.29310963604469,1.2228326170663417,-0.020019425531981445,-3.417634996581336,-3.417634996581336,-20.505809979493947,7.0,-27.505809979493947,MT
GALAUSDT,strict,10,1787022742000,1787022742243,1787022762253,buy,0.001469,6.8050357264369925,0.8267225237581678,4.344165613369517,-0.2253688032402673,-3.4036759700481034,-17.01837985023904,-6.807351940096207,7.0,-13.807351940096208,MT
GALAUSDT,strict,10,1787022780500,1787022780946,1787022783709,buy,0.001469,6.8050357264369925,1.5215752815978316,3.655241425410153,0.5228557169465139,-10.211027910142832,-10.211027910142832,-13.614703880190937,7.0,-20.614703880190937,MT
GALAUSDT,loose,240,1787022609500,1787022618888,1787022621807,buy,0.001455,6.870491240124581,0.2997116689597494,0.3202058767067139,0.615283942946804,-3.436426116837454,-10.309278350515342,0.0,4.0,-4.0,MM
GALAUSDT,loose,240,1787022622750,1787022623920,1787022624589,sell,0.001454,6.870491240124581,6.567543430140057,2.3619750534736488,0.5244880347662283,30.949105914719148,44.704264099037104,20.632737276478434,4.0,16.632737276478434,MM
GALAUSDT,loose,240,1787022624750,1787022630873,1787022635430,buy,0.001449,6.89893066574623,0.0835372900449899,0.8711044631546724,-0.08075397863219502,-10.351966873705882,-10.351966873705882,-6.901311249136756,4.0,-10.901311249136757,MM
GALAUSDT,loose,240,1787022635500,1787022636703,1787022643893,sell,0.001448,6.908462867013006,11.045943862109805,0.6491896190401705,0.5596192885882343,-3.453038674033607,-17.265193370165044,-0.0,4.0,-4.0,MM
GALAUSDT,loose,240,1787022644000,1787022644797,1787022665037,sell,0.001445,6.9372181755110365,0.08187531971180986,0.07877801156371396,-0.5252943613425474,-10.38062283736862,-10.38062283736862,-48.44290657439338,7.0,-55.44290657439338,MT
GALAUSDT,loose,240,1787022665250,1787022667801,1787022668830,buy,0.001451,6.889424733034212,0.3652557671963242,1.3821562584898806,0.7693560011972246,3.4458993797385693,31.013094417642638,6.891798759475643,4.0,2.891798759475643,MM
GALAUSDT,loose,240,1787022669250,1787022671729,1787022691969,sell,0.001454,6.8799449604397385,1.4460606348482399,0.28502212197569615,-0.09098874263374014,-10.316368638239217,-17.193947730398197,-48.14305364511735,7.0,-55.14305364511735,MT
GALAUSDT,loose,240,1787022692000,1787022694535,1787022714775,sell,0.001461,6.8469702156804715,13.692839127097269,2.5147364077525194,0.39254370024501756,-3.422313483915581,-10.266940451745258,-13.689253935660838,7.0,-20.689253935660837,MT
GALAUSDT,loose,240,1787022715000,1787022716968,1787022737208,sell,0.001463,6.837606837607745,42.629229038836584,0.10344622281371485,-0.1439379890868456,-10.252904989746973,-3.417634996581336,-47.84688995215205,7.0,-54.84688995215205,MT
GALAUSDT,loose,240,1787022737250,1787022741863,1787022742243,sell,0.001469,6.809669731018949,89.78343909077361,2.2239235650570626,0.9435717182827772,3.4036759700481034,17.01837985023904,-0.0,4.0,-4.0,MM
GALAUSDT,loose,240,1787022742250,1787022743293,1787022752724,buy,0.001468,6.809669731018949,1.0572145622381222,4.083613093583218,-0.37466673258217653,-10.217983651226039,-10.217983651226039,0.0,4.0,-4.0,MM
GALAUSDT,loose,240,1787022752750,1787022755496,1787022775736,sell,0.001468,6.814310051106752,3.66289104925262,3.054673532108191,-0.5829750238968865,3.4059945504076947,-3.4059945504091718,-0.0,7.0,-7.0,MT
GALAUSDT,loose,240,1787022778000,1787022781552,1787022782668,buy,0.001468,6.809669731018949,0.6771079511822825,3.5777359945564298,-0.4267076865414789,-10.217983651226039,-3.4059945504076947,-6.811989100816866,4.0,-10.811989100816866,MM
GALAUSDT,loose,240,1787022782750,1787022783249,1787022783709,buy,0.001468,6.8050357264369925,0.10212945952579126,0.18291863726413105,-0.3269661597356716,-3.4059945504076947,-3.4059945504076947,-6.811989100816866,7.0,-13.811989100816866,MT
GALAUSDT,balanced,240,1787022609500,1787022618888,1787022621807,buy,0.001455,6.870491240124581,0.2997116689597494,0.3202058767067139,0.615283942946804,-3.436426116837454,-10.309278350515342,0.0,4.0,-4.0,MM
