symbol,lat_ms,profile,side,signal_ts,fill_ts,entry_px,spread_bp,flow5,mark1_bp,mark5_bp,mark15_bp,value1_bp,value5_bp,value15_bp
GALAUSDT,240,neutral,buy,1787023387000,1787023387927,0.001438,6.951685783801987,0.18560511081494896,-3.4770514603620746,-3.4770514603620746,-3.4770514603620746,-5.477051460362075,-5.477051460362075,-5.477051460362075
ROBOUSDT,10,all,buy,1787023289750,1787023290735,0.0134,7.459903021260419,-0.47307118661689096,-3.7313432835819373,3.7313432835819373,-48.50746268656778,-5.731343283581937,1.7313432835819373,-50.50746268656778
ROBOUSDT,10,all,sell,1787023292750,1787023294168,0.0134,7.465472191115784,0.24254185952322954,-3.7313432835819373,-3.7313432835819373,33.582089552238735,-5.731343283581937,-5.731343283581937,31.582089552238735
ROBOUSDT,10,all,buy,1787023304750,1787023305445,0.0134,7.459903021260419,-0.9368127837737849,-33.582089552238735,-33.582089552238735,-18.65671641791098,-35.582089552238735,-35.582089552238735,-20.65671641791098
ROBOUSDT,10,all,sell,1787023314250,1787023315843,0.01336,7.48783227255679,0.0,-11.227544910179184,-11.227544910179184,-3.7425149700597276,-13.227544910179184,-13.227544910179184,-5.7425149700597276
ROBOUSDT,10,all,buy,1787023382500,1787023384297,0.01335,7.48783227255679,-0.9999999999999983,-11.235955056180616,-18.72659176030016,-26.21722846441971,-13.235955056180616,-20.72659176030016,-28.21722846441971
ROBOUSDT,10,protected,sell,1787023313500,1787023315843,0.01336,7.48783227255679,0.0,-11.227544910179184,-11.227544910179184,-3.7425149700597276,-13.227544910179184,-13.227544910179184,-5.7425149700597276
ROBOUSDT,10,neutral,sell,1787023313500,1787023315843,0.01336,7.48783227255679,0.0,-11.227544910179184,-11.227544910179184,-3.7425149700597276,-13.227544910179184,-13.227544910179184,-5.7425149700597276
ROBOUSDT,240,all,buy,1787023289750,1787023290735,0.0134,7.459903021260419,-0.47307118661689096,-3.7313432835819373,3.7313432835819373,-48.50746268656778,-5.731343283581937,1.7313432835819373,-50.50746268656778
ROBOUSDT,240,all,sell,1787023292750,1787023294168,0.0134,7.465472191115784,0.24254185952322954,-3.7313432835819373,-3.7313432835819373,33.582089552238735,-5.731343283581937,-5.731343283581937,31.582089552238735
