symbol,family,rid,latency,horizon_s,extra_stress_bps,train_mean_net_bps,train_n,n,mean_gross_bps,mean_net_bps,win_net,t_gross,ci95_low_net,median_gross_bps,p10_gross_bps,p90_gross_bps
BTCUSDT,flow_extreme,5,~250ms,60,0.0,-9.567407229756007,1640,1845,0.2683459081505659,-9.731654091849434,0.0005420054200542005,5.801122190603481,-9.822318960248007,0.0,-1.7162004585559816,2.501392677558399
BTCUSDT,flow_extreme,5,~250ms,60,1.0,-9.567407229756007,1640,1845,0.2683459081505659,-10.731654091849434,0.0005420054200542005,5.801122190603481,-10.822318960248007,0.0,-1.7162004585559816,2.501392677558399
BTCUSDT,flow_extreme,5,~250ms,60,2.0,-9.567407229756007,1640,1845,0.2683459081505659,-11.731654091849434,0.0,5.801122190603481,-11.822318960248007,0.0,-1.7162004585559816,2.501392677558399
BTCUSDT,momentum_cont,17,~250ms,60,0.0,-9.341382198983172,104,157,0.4040261358157822,-9.595973864184218,0.0,2.5662410088442704,-9.904554088516136,0.06309984288271087,-1.6858358719250746,2.736710344930817
BTCUSDT,momentum_cont,17,~250ms,60,1.0,-9.341382198983172,104,157,0.4040261358157822,-10.595973864184218,0.0,2.5662410088442704,-10.904554088516136,0.06309984288271087,-1.6858358719250746,2.736710344930817
BTCUSDT,momentum_cont,17,~250ms,60,2.0,-9.341382198983172,104,157,0.4040261358157822,-11.595973864184218,0.0,2.5662410088442704,-11.904554088516136,0.06309984288271087,-1.6858358719250746,2.736710344930817
BTCUSDT,momentum_cont,17,500ms,60,0.0,-9.351524237492864,104,157,0.3906493353405315,-9.609350664659468,0.0,2.4768070283767085,-9.918487665844927,0.06309984288271087,-1.6858358719250746,2.6544333406581315
BTCUSDT,momentum_cont,17,500ms,60,1.0,-9.351524237492864,104,157,0.3906493353405315,-10.609350664659468,0.0,2.4768070283767085,-10.918487665844927,0.06309984288271087,-1.6858358719250746,2.6544333406581315
BTCUSDT,momentum_cont,17,500ms,60,2.0,-9.351524237492864,104,157,0.3906493353405315,-11.609350664659468,0.0,2.4768070283767085,-11.918487665844927,0.06309984288271087,-1.6858358719250746,2.6544333406581315
BTCUSDT,momentum_cont,7,~250ms,60,0.0,-9.37696126914136,622,638,0.3925425896157698,-9.607457410384232,0.001567398119122257,4.014821315759187,-9.799093205637904,0.26847439376972193,-2.2623636013367547,3.2344872911521536
BTCUSDT,momentum_cont,7,~250ms,60,1.0,-9.37696126914136,622,638,0.3925425896157698,-10.60745741038423,0.001567398119122257,4.014821315759187,-10.799093205637902,0.26847439376972193,-2.2623636013367547,3.2344872911521536
BTCUSDT,momentum_cont,7,~250ms,60,2.0,-9.37696126914136,622,638,0.3925425896157698,-11.60745741038423,0.0,4.014821315759187,-11.799093205637902,0.26847439376972193,-2.2623636013367547,3.2344872911521536
BTCUSDT,underreact_cont,6,~250ms,120,0.0,-9.629310502123795,442,531,0.20930871778792212,-9.790691282212078,0.0018832391713747645,2.20511178286689,-9.976734044330453,0.0,-1.984620770687828,2.5085098947783857
BTCUSDT,underreact_cont,6,~250ms,120,1.0,-9.629310502123795,442,531,0.20930871778792212,-10.790691282212078,0.0018832391713747645,2.20511178286689,-10.976734044330453,0.0,-1.984620770687828,2.5085098947783857
BTCUSDT,underreact_cont,6,~250ms,120,2.0,-9.629310502123795,442,531,0.20930871778792212,-11.790691282212078,0.0018832391713747645,2.20511178286689,-11.976734044330453,0.0,-1.984620770687828,2.5085098947783857
BTCUSDT,underreact_cont,6,500ms,120,0.0,-9.630538267721372,442,531,0.2000806822203811,-9.79991931777962,0.0018832391713747645,2.1079293654360107,-9.985958823458613,0.0,-1.984620770687828,2.5085098947783857
BTCUSDT,underreact_cont,6,500ms,120,1.0,-9.630538267721372,442,531,0.2000806822203811,-10.79991931777962,0.0018832391713747645,2.1079293654360107,-10.985958823458613,0.0,-1.984620770687828,2.5085098947783857
BTCUSDT,underreact_cont,6,500ms,120,2.0,-9.630538267721372,442,531,0.2000806822203811,-11.79991931777962,0.0018832391713747645,2.1079293654360107,-11.985958823458613,0.0,-1.984620770687828,2.5085098947783857
BTCUSDT,underreact_cont,6,~250ms,60,0.0,-9.795958024750863,510,591,0.12324788403393083,-9.876752115966069,0.0,2.091992853183989,-9.992223759350912,0.0,-1.2378205912372768,1.5591738319477666
BTCUSDT,underreact_cont,6,~250ms,60,1.0,-9.795958024750863,510,591,0.12324788403393083,-10.876752115966069,0.0,2.091992853183989,-10.992223759350912,0.0,-1.2378205912372768,1.5591738319477666
BTCUSDT,underreact_cont,6,~250ms,60,2.0,-9.795958024750863,510,591,0.12324788403393083,-11.876752115966069,0.0,2.091992853183989,-11.992223759350912,0.0,-1.2378205912372768,1.5591738319477666
ETHUSDT,exhaustion_rev,18,~250ms,120,0.0,-9.265356691026316,45,60,0.2444042785718042,-9.755595721428195,0.0,0.7528855250938361,-10.391857636466383,0.10606377369134248,-2.8290045906875028,3.4321199938983025
ETHUSDT,exhaustion_rev,18,~250ms,120,1.0,-9.265356691026316,45,60,0.2444042785718042,-10.755595721428195,0.0,0.7528855250938361,-11.391857636466383,0.10606377369134248,-2.8290045906875028,3.4321199938983025
ETHUSDT,exhaustion_rev,18,~250ms,120,2.0,-9.265356691026316,45,60,0.2444042785718042,-11.755595721428195,0.0,0.7528855250938361,-12.391857636466383,0.10606377369134248,-2.8290045906875028,3.4321199938983025
ETHUSDT,exhaustion_rev,18,500ms,120,0.0,-9.275748397410558,45,60,0.24796258832156043,-9.752037411678439,0.0,0.7664886430665254,-10.386106393008507,0.053201395099797544,-2.8290045906875028,3.4321199938983025
ETHUSDT,exhaustion_rev,18,500ms,120,1.0,-9.275748397410558,45,60,0.24796258832156043,-10.752037411678439,0.0,0.7664886430665254,-11.386106393008507,0.053201395099797544,-2.8290045906875028,3.4321199938983025
ETHUSDT,exhaustion_rev,18,500ms,120,2.0,-9.275748397410558,45,60,0.24796258832156043,-11.752037411678439,0.0,0.7664886430665254,-12.386106393008507,0.053201395099797544,-2.8290045906875028,3.4321199938983025
ETHUSDT,exhaustion_rev,23,500ms,120,0.0,-9.813224036469338,40,69,-0.050102647289429966,-10.05010264728943,0.014492753623188406,-0.08479799012180265,-11.208162980396711,-0.1062733137101383,-3.547437776376086,2.6635124318556826
ETHUSDT,exhaustion_rev,23,500ms,120,1.0,-9.813224036469338,40,69,-0.050102647289429966,-11.05010264728943,0.014492753623188406,-0.08479799012180265,-12.208162980396711,-0.1062733137101383,-3.547437776376086,2.6635124318556826
ETHUSDT,exhaustion_rev,23,500ms,120,2.0,-9.813224036469338,40,69,-0.050102647289429966,-12.05010264728943,0.014492753623188406,-0.08479799012180265,-13.208162980396711,-0.1062733137101383,-3.547437776376086,2.6635124318556826
ETHUSDT,flow_accel,9,500ms,120,0.0,-9.64303719481466,55,32,-0.8973429856223865,-10.897342985622386,0.0,-1.0659298712575431,-12.547350457263013,-0.6117294105535949,-4.890460040953249,4.3809868000612
ETHUSDT,flow_accel,9,500ms,120,1.0,-9.64303719481466,55,32,-0.8973429856223865,-11.897342985622386,0.0,-1.0659298712575431,-13.547350457263013,-0.6117294105535949,-4.890460040953249,4.3809868000612
ETHUSDT,flow_accel,9,500ms,120,2.0,-9.64303719481466,55,32,-0.8973429856223865,-12.897342985622386,0.0,-1.0659298712575431,-14.547350457263013,-0.6117294105535949,-4.890460040953249,4.3809868000612
ETHUSDT,flow_accel,9,~250ms,120,0.0,-9.670379244445897,55,32,-0.8990155682495345,-10.899015568249535,0.0,-1.0631825373518422,-12.556370210433581,-0.6117309704521263,-4.890460040953249,4.3809868000612
ETHUSDT,flow_accel,9,~250ms,120,1.0,-9.670379244445897,55,32,-0.8990155682495345,-11.899015568249535,0.0,-1.0631825373518422,-13.556370210433581,-0.6117309704521263,-4.890460040953249,4.3809868000612
ETHUSDT,flow_accel,9,~250ms,120,2.0,-9.670379244445897,55,32,-0.8990155682495345,-12.899015568249535,0.0,-1.0631825373518422,-14.556370210433581,-0.6117309704521263,-4.890460040953249,4.3809868000612
ETHUSDT,flow_accel,4,500ms,120,0.0,-9.69529757203525,113,68,0.31144188835064535,-9.688558111649355,0.014705882352941176,0.7007397927345187,-10.559674762218291,-0.21271276309216902,-3.699994872322535,4.623642307600368
ETHUSDT,flow_accel,4,500ms,120,1.0,-9.69529757203525,113,68,0.31144188835064535,-10.688558111649355,0.0,0.7007397927345187,-11.559674762218291,-0.21271276309216902,-3.699994872322535,4.623642307600368
ETHUSDT,flow_accel,4,500ms,120,2.0,-9.69529757203525,113,68,0.31144188835064535,-11.688558111649355,0.0,0.7007397927345187,-12.559674762218291,-0.21271276309216902,-3.699994872322535,4.623642307600368
ETHUSDT,flow_extreme,25,~250ms,120,0.0,-9.527889787179971,153,330,0.38494006173928774,-9.615059938260712,0.012121212121212121,2.1603092767826,-9.964307395149234,0.07966439776542558,-1.9203062404917233,3.284833633561316
ETHUSDT,flow_extreme,25,~250ms,120,1.0,-9.527889787179971,153,330,0.38494006173928774,-10.615059938260712,0.00909090909090909,2.1603092767826,-10.964307395149234,0.07966439776542558,-1.9203062404917233,3.284833633561316
ETHUSDT,flow_extreme,25,~250ms,120,2.0,-9.527889787179971,153,330,0.38494006173928774,-11.615059938260712,0.00909090909090909,2.1603092767826,-11.964307395149234,0.07966439776542558,-1.9203062404917233,3.284833633561316
ETHUSDT,flow_extreme,20,~250ms,120,0.0,-9.541283560767233,326,622,0.47762935684317626,-9.522370643156824,0.014469453376205787,3.3576384991042016,-9.8011837255248,0.2124298045427082,-2.7510609003910025,3.9623427607028088
ETHUSDT,flow_extreme,20,~250ms,120,1.0,-9.541283560767233,326,622,0.47762935684317626,-10.522370643156824,0.012861736334405145,3.3576384991042016,-10.8011837255248,0.2124298045427082,-2.7510609003910025,3.9623427607028088
ETHUSDT,flow_extreme,20,~250ms,120,2.0,-9.541283560767233,326,622,0.47762935684317626,-11.522370643156824,0.012861736334405145,3.3576384991042016,-11.8011837255248,0.2124298045427082,-2.7510609003910025,3.9623427607028088
ETHUSDT,flow_extreme,10,~250ms,120,0.0,-9.541622856551976,735,917,0.3411957765564025,-9.658804223443598,0.011995637949836423,2.953404907288495,-9.885235662085893,0.05319332849250171,-2.9129230941654933,3.9025546064541103
ETHUSDT,flow_extreme,10,~250ms,120,1.0,-9.541622856551976,735,917,0.3411957765564025,-10.658804223443598,0.008724100327153763,2.953404907288495,-10.885235662085893,0.05319332849250171,-2.9129230941654933,3.9025546064541103
ETHUSDT,flow_extreme,10,~250ms,120,2.0,-9.541622856551976,735,917,0.3411957765564025,-11.658804223443598,0.008724100327153763,2.953404907288495,-11.885235662085893,0.05319332849250171,-2.9129230941654933,3.9025546064541103
ETHUSDT,momentum_cont,27,~250ms,120,0.0,-9.120345069439107,41,88,0.7030535998265091,-9.296946400173491,0.0,2.5250544408354716,-9.84267128965509,0.6650252905851547,-1.820850448281608,4.058381419170132
ETHUSDT,momentum_cont,27,~250ms,120,1.0,-9.120345069439107,41,88,0.7030535998265091,-10.29694640017349,0.0,2.5250544408354716,-10.842671289655089,0.6650252905851547,-1.820850448281608,4.058381419170132
ETHUSDT,momentum_cont,27,~250ms,120,2.0,-9.120345069439107,41,88,0.7030535998265091,-11.29694640017349,0.0,2.5250544408354716,-11.842671289655089,0.6650252905851547,-1.820850448281608,4.058381419170132
ETHUSDT,momentum_cont,27,~250ms,60,0.0,-9.151691977322427,41,90,0.8649931858148837,-9.135006814185118,0.0,3.705699559934456,-9.592514665746393,0.61189253115287,-1.7746747695546026,3.6953579054870067
ETHUSDT,momentum_cont,27,~250ms,60,1.0,-9.151691977322427,41,90,0.8649931858148837,-10.135006814185116,0.0,3.705699559934456,-10.592514665746391,0.61189253115287,-1.7746747695546026,3.6953579054870067
ETHUSDT,momentum_cont,27,~250ms,60,2.0,-9.151691977322427,41,90,0.8649931858148837,-11.135006814185116,0.0,3.705699559934456,-11.592514665746391,0.61189253115287,-1.7746747695546026,3.6953579054870067
ETHUSDT,momentum_cont,27,500ms,120,0.0,-9.172942137781025,41,88,0.7084906952852971,-9.291509304714703,0.0,2.552436633529572,-9.835554843208222,0.6650252905851547,-1.820850448281608,4.02641943262584
ETHUSDT,momentum_cont,27,500ms,120,1.0,-9.172942137781025,41,88,0.7084906952852971,-10.291509304714703,0.0,2.552436633529572,-10.835554843208222,0.6650252905851547,-1.820850448281608,4.02641943262584
ETHUSDT,momentum_cont,27,500ms,120,2.0,-9.172942137781025,41,88,0.7084906952852971,-11.291509304714703,0.0,2.552436633529572,-11.835554843208222,0.6650252905851547,-1.820850448281608,4.02641943262584
ETHUSDT,underreact_cont,26,~250ms,120,0.0,-9.346561312039151,43,89,0.3542976223128153,-9.645702377687185,0.033707865168539325,1.035011097274132,-10.316635608801318,0.0,-2.32529271424057,2.497374352717925
ETHUSDT,underreact_cont,26,~250ms,120,1.0,-9.346561312039151,43,89,0.3542976223128153,-10.645702377687185,0.02247191011235955,1.035011097274132,-11.316635608801318,0.0,-2.32529271424057,2.497374352717925
ETHUSDT,underreact_cont,26,~250ms,120,2.0,-9.346561312039151,43,89,0.3542976223128153,-11.645702377687183,0.02247191011235955,1.035011097274132,-12.316635608801317,0.0,-2.32529271424057,2.497374352717925
ETHUSDT,underreact_cont,26,500ms,120,0.0,-9.346665729950429,43,89,0.3596681529413889,-9.640331847058611,0.033707865168539325,1.0510458735428456,-10.311044322612977,0.0,-2.357150527261758,2.497374352717925
ETHUSDT,underreact_cont,26,500ms,120,1.0,-9.346665729950429,43,89,0.3596681529413889,-10.640331847058611,0.02247191011235955,1.0510458735428456,-11.311044322612977,0.0,-2.357150527261758,2.497374352717925
ETHUSDT,underreact_cont,26,500ms,120,2.0,-9.346665729950429,43,89,0.3596681529413889,-11.64033184705861,0.02247191011235955,1.0510458735428456,-12.311044322612975,0.0,-2.357150527261758,2.497374352717925
ETHUSDT,underreact_cont,6,~250ms,120,0.0,-9.485578350431684,350,512,0.07596743985643314,-9.924032560143567,0.005859375,0.5166558022322782,-10.212224779170787,0.0,-2.822125173224364,3.0197338648454015
ETHUSDT,underreact_cont,6,~250ms,120,1.0,-9.485578350431684,350,512,0.07596743985643314,-10.924032560143567,0.00390625,0.5166558022322782,-11.212224779170787,0.0,-2.822125173224364,3.0197338648454015
ETHUSDT,underreact_cont,6,~250ms,120,2.0,-9.485578350431684,350,512,0.07596743985643314,-11.924032560143567,0.00390625,0.5166558022322782,-12.212224779170787,0.0,-2.822125173224364,3.0197338648454015
SOLUSDT,exhaustion_rev,8,~250ms,5,0.0,-9.634196452557608,150,52,-0.05087738176656512,-10.050877381766565,0.0,-0.27981503742638764,-10.40725446993039,0.0,-1.3253109568572867,1.3250123336260715
SOLUSDT,exhaustion_rev,8,~250ms,5,1.0,-9.634196452557608,150,52,-0.05087738176656512,-11.050877381766563,0.0,-0.27981503742638764,-11.407254469930388,0.0,-1.3253109568572867,1.3250123336260715
SOLUSDT,exhaustion_rev,8,~250ms,5,2.0,-9.634196452557608,150,52,-0.05087738176656512,-12.050877381766563,0.0,-0.27981503742638764,-12.407254469930388,0.0,-1.3253109568572867,1.3250123336260715
SOLUSDT,exhaustion_rev,18,~250ms,5,0.0,-9.634196452557608,150,51,-0.0779440370715396,-10.07794403707154,0.0,-0.42508769435432714,-10.437329440811027,0.0,-1.3254688865589561,1.324064881113717
SOLUSDT,exhaustion_rev,18,~250ms,5,1.0,-9.634196452557608,150,51,-0.0779440370715396,-11.07794403707154,0.0,-0.42508769435432714,-11.437329440811027,0.0,-1.3254688865589561,1.324064881113717
SOLUSDT,exhaustion_rev,18,~250ms,5,2.0,-9.634196452557608,150,51,-0.0779440370715396,-12.07794403707154,0.0,-0.42508769435432714,-12.437329440811027,0.0,-1.3254688865589561,1.324064881113717
SOLUSDT,exhaustion_rev,3,~250ms,120,0.0,-9.661835883450046,369,376,0.1277495045687607,-9.872250495431238,0.018617021276595744,0.5289069369699902,-10.345658975170988,0.0,-5.287857902942621,5.288567200575325
SOLUSDT,exhaustion_rev,3,~250ms,120,1.0,-9.661835883450046,369,376,0.1277495045687607,-10.872250495431238,0.010638297872340425,0.5289069369699902,-11.345658975170988,0.0,-5.287857902942621,5.288567200575325
SOLUSDT,exhaustion_rev,3,~250ms,120,2.0,-9.661835883450046,369,376,0.1277495045687607,-11.872250495431238,0.007978723404255319,0.5289069369699902,-12.345658975170988,0.0,-5.287857902942621,5.288567200575325
SOLUSDT,flow_accel,14,500ms,60,0.0,-9.54403358590676,57,42,-0.030118466706384284,-10.030118466706384,0.0,-0.0705678184414497,-10.866649849541924,0.0,-2.6518871013348786,2.6446019080697476
SOLUSDT,flow_accel,14,500ms,60,1.0,-9.54403358590676,57,42,-0.030118466706384284,-11.030118466706384,0.0,-0.0705678184414497,-11.866649849541924,0.0,-2.6518871013348786,2.6446019080697476
SOLUSDT,flow_accel,14,500ms,60,2.0,-9.54403358590676,57,42,-0.030118466706384284,-12.030118466706384,0.0,-0.0705678184414497,-12.866649849541924,0.0,-2.6518871013348786,2.6446019080697476
SOLUSDT,flow_accel,14,~250ms,60,0.0,-9.662746729146635,57,42,-0.15596777223326286,-10.155967772233263,0.0,-0.37459041499184104,-10.97205067596654,0.0,-2.6604944033038276,2.652188579065427
SOLUSDT,flow_accel,14,~250ms,60,1.0,-9.662746729146635,57,42,-0.15596777223326286,-11.155967772233263,0.0,-0.37459041499184104,-11.97205067596654,0.0,-2.6604944033038276,2.652188579065427
